Index,Series,Name,Epithets,Description,Image,ImageHash,InputHash,StaticHash
0,0,O,Genesis,-,final-sprites/accessory-inscription-cabana-smell-rostrum-down_clip_m1_OPT.gif,QmcdqxBskA13QApsi6yDMwVjCtBg9ZpU4v8tfZdoZZyq7x,QmTWXhdXKcw6RXhKPcBhWVmj12wRLvYcgrSpT1nikmBtGv,QmYeZbJASvLiNGEQQytVNeDdB7u8hNcT2cVmFwRNeBy7nj
1,0,Wökr,The Judge of Cogito,"A primordial force that founded the world. A disembodied skull surrounded by the shining light of the Sun and a halo of lightning, with an enormous force wrapped around it. It feeds off madness, and it can be thought of as the very embodiment of Chaos.",final-sprites/0x_founder_0_clip_m1_OPT.gif,QmY1E7rpjHBocXMreswmxNGiN7ZjeZGfZrWF4tZ6NU6ffy,QmfJsL7Lh2jrRqaTMxorT7qRuMuDSW7jLMb2vQuyMhHokk,QmQQEUtfeNxD7tkWAkd8grzCLDpXTjNhS9syg3hGF5ntfg
2,0,Vmew,Jqzl wn Xzwuqam,"I xzquwzlqit nwzkm bpib nwcvlml bpm ewztl. Iv mtmoivb jmqvo bpib zmamujtma i tizom jqzl, qb ammua bw ntg bpzwcop bqum. Mdmzg ntix wn qba eqvoa jzqvoa i vme xmabqtmvkm. Nqkstm, qb jzqvoa ozmib lqaiabmz, jcb pia itaw jmmv aiql bw wkkiaqwvittg ozivb twvomdqbg bw kmzbiqv jmqvoa.",final-sprites/0x_founder_1_clip_m1_OPT.gif,QmXKcSLMD4S65QUxrJbfikk9uhXTBqr4JMMDjMtUywCro3,QmdcDCzGVTo2VPwj1haCuPoop5SkC9BFroXU4aw9Hza67e,QmZJDDA6GbhbBCP8Bo1cWrxSVQnMAJAPuUhAD7UFk7Dk8j
3,0,Kali-Züi,The Amalgam,"A primordial force that founded the world. An entity that is said to be the combination of all lifeforms on Earth. It is only visible to those who have achieved completion. Legends says that it will one day bring all of the universe together in an endless twilight, where it is the sole star.",final-sprites/0x_founder_2_clip_m1_OPT.gif,QmcG4UW3N9mV4G8aJgWxwLC9DneFuH3KkdFAAHQ6em7rPW,QmenTr74f5Hn5SkJT1NTEFWSaT49F8fi2onT146UwgdshR,QmVs2MidPEYtkGudXXBna43owrjkdVTGrPVhQYWEWJ8ATy
4,0,Zaphthrot,The Devourer of Worlds,"A primordial force that founded the world. An ancient, all-powerful entity said to have been imprisoned beneath the spaces. After some time spent in the Outer Worlds, Zaphthrot began to hunger. Tracking down the Path of All-Worlds, it travelled back through the void between the stars and worlds, and it began to corrupt the Earth.",final-sprites/0x_founder_3_clip_m1_OPT.gif,QmY9Kgs4STxZHasnUeopUZD2cNrweLEEMfm9R7wbGDo6HT,QmfVgziuVbPovhQqKgW8J3DQYRieQx9PmHNSe4yUbZYT4W,Qma2cqnuu5EL4QU61otkHVXpVbD3xGVjmYAWFCbAdYZnnQ
5,1,Lubän,The Wandering Wizard,A mysterious wizard of unknown origin who has travelled the world practicing dark magic. She sometimes takes jobs for small villages as a stock removalist. She may be related to the Chthonic sorcerer Dluthos.,./final-sprites/shakedown-foot-licence-spruce-mutation-repeat_clip_m5_OPT.gif,QmYdWtgYyzhdwtaa3DduiviHyfcnhEnRkYDk3utVfGrhei,QmSXxRgxn2hevEDXDw1KPMNpBrTxGAZXAbfCsXRbKQ7FNR,QmTyj93ELrcVLqG5HTXm8a4dWd4PGcapaQN8rwr1zsSsaU
6,1,Yü-Koth,Sending of Six,"A gigantic green tortoise with a long tail and many legs. Its shell is covered in glowing stars and meteors. Every decade, it adds a new star, birthed from human souls.",./final-sprites/thirst-hesitation-point-tonic-hint-visit_norm_m1_OPT.gif,QmUU4RBgvPtAuMmye2EknzZuGPfBVLispvna4GEnogkKYX,QmYD8wuKLojhuR7VyJTBxEwFjpTFQciLU5QmKfD1k4SeVF,QmUhpBbK2Y27swxEpVNBtiqxLnEnZT6T3ESipMpnFtNUeT
7,1,Sturrosh,The Bright Oil in the Gulf,"A colossal slimy amoeba-like blob said to dwell in the Gulf of Rhot. It can emit a great cloud of yellow smoke which upon contact with the world’s oceans, hardens into a lethal obsidian which causes waves across the world to rise to great heights, destroying everything in their wake.",./final-sprites/bull-endorsement-doctorate-roller-decongestant-dealing_clip_m7_OPT.gif,Qmf7myaCTtsPaQjc7YgXefpSSYsPPz7Wd9dnyr7jT62HQS,QmPEgBRK6wGhCkKPwAw9j2Na86cp77fmjtMVfT5V4VYWpQ,QmeFmh8GyNAvys6Db5VM8Ygj9Q6ANSMGxCCpp3VTZtckjU
8,1,Iä-Ngai,Sordid Gnawer of the Moon,"A small, shining creature with unblinking eyes and a small agape mouth. It is said to come from the depths of space. Can bring luck or misfortune depending on time of day.",./final-sprites/angiosperm-presentation-alb-innovation-association-return_clip_m1_OPT.gif,QmeaKLwvWP8ncQEwsSC5Sijnpmx1RG84crqS46yyyoC3Rv,QmWuHooTjwnDZw4CS58bUWwoSUP9PMjp3vxN3Rmkc3JDU2,QmWrQ8zREcdTEhxEkVuEGMcFFTdQWEFb9p7XGXaTPL99B4
9,1,Khakh,"The World Serpent, The Father of Serpents","A colossal red serpent with multiple eyes and a slavering mouth, surrounded by numerous shadowy serpents. He is one of the ancient Gods, who has awoken twice before to begin world-ending cataclysms. He sleeps beneath the Gulf of Rhot.",./final-sprites/sideboard-vegetarianism-parameter-academics-manacle-analyst_clip_m1_OPT.gif,QmevAycLhTEVaxP3gTW8umgcqkChokf4bjGaUaTsqNJvXv,QmWhZ9rYPU7S5hkGv4gXQuqMu85Z87oWK1f3hCFK2T9fbD,QmNRYaQDKyxUKvHrGTSwYE48WgnrGfbbmjnbd31uaDz2Y1
10,1,G’yathnä,The Mistress of Doom,"A demonic entity who can appear before men and speak prophecies. She can put curses upon the minds of all who hear her voice. She is described as blue, writing mass with twin heads.",./final-sprites/hope-sunset-familiar-nightclub-jeans-exhaust_clip_m6_OPT.gif,QmQR2NzNKkLzmUBr3GnEYZhUK72gBz3XfFzEMnBZuUdWG3,QmSmxeYAQsHeV5cY75ijruASZ4HpG64SskdTLVYUzBmJUm,Qmf59dJEn8ZiPKkcMsrkQgWsrxnUpFK8UqRG4UfgsVB5er
11,1,Huacas,The Magician Who Lived Through Eternity,A mystic scholar who may be from another world entirely. He is the only Ancient God left alive in the modern world. Many of his writings have mysteriously found their ways into libraries and studies across the world.,./final-sprites/transport-phenomenon-cyclooxygenase-net-serum-clarinet_clip_m1_OPT.gif,QmZBQsLZRfHkEgQ3baCNwMU3iv7WZJ4U1AawiLvYZz1wxZ,Qmbje3tHZNXnCYz3mfzFxQ2ZzpXNYtwWRCoviLC29euWud,QmPdRcuqZVq8RP5RDcCmbVZMPm65Bc5QUnhSwrMBs9sS6x
12,1,Zhar & Lloigor,"The Blue Cat and the Red Cat, The Two Watchers","Two gigantic entities which manifest as gigantic blue and red felines, with scaled and feathered wings. Together, they are locked in an endless game; it is said that they have each gambled one half of the world.",./final-sprites/coffee-minister-vaulting-reservoir-disadvantage-spree_clip_m1_OPT.gif,QmQYREMubL5Mjjuq5i3HNfwKUnHy5rPiL9wEtt6FASEE26,QmR7VG4etp7ueP1yoFw7uaZGCLckcf4qhkbTaTK5C8Wd2E,QmWZoquKPkzsu6rM8VqmLK9cXQApNFHWKW75469NctpGfr
13,1,X’l-rho,A Downed One,"A gigantic living mass of debris, rock and ships from the endless sea which Zä-thrathe drags barges from her mind into the material world and gulps down into the endless sea.",./final-sprites/literate-receipt-weasel-frequency-caution-glove_clip_m1_OPT.gif,QmVTZNtzumHtCZ9jVVnKkFyqq4GKaoN82PEspFCxvv5fgu,QmPRDQX7GekyKsispCZKJ4cRLxwhVBN3TbWEAqMLPZvqec,QmeioACRYNypUPwkUkRbRbVVJHJgUAuPNLYH41rcqAnscc
14,1,Shudde M’ell,"Burrower Beneath, The Worm that Gnaws One's Roots","A gigantic mass of tentacles and claws, with a complex mouth-like orifice, and eyes on stalks. It is said to have been the first Great Old One to evolve on Earth, and to have burrowed deep under the planet's crust, where it will eventually destroy all life on Earth.",./final-sprites/pass-bratwurst-advancement-exterior-TV-salmon_clip_m1_OPT.gif,QmZ3QDSP1Csj3zfsKwhbBjmiMENcGnzcfDEfYD9BP5aUP9,QmRwUvuDja6Ss2NNKUnBqsJhHaDMNyW6FdzzSVG77ACcaz,QmUvfuYFNeimNDJZsJZ2JQFwPauMod6E5QmDnWGwSy69Vy
15,1,Crethagu,"She Who Wins the Struggle, The Mother of Conquerors","A 'mother' of conquest, spoken of in the deep corridors of antiquity. She has conquered innumerable kingdoms, and is said to have either fathered or given birth to a new race of conquerors every few centuries. It is not known where she currently resides, but it is always said that there is no one greater than her in all the world.",./final-sprites/a_mon_9_clip_m1_OPT.gif,QmTWBCEj8Wurc2WGfgZwBYFPfr2FEBkCA9KwTcJV9UEpSB,QmcTZRpjWd9b4FkPSR5bGwx3r5cko9jqks5H5b81rjCjLp,QmNV5vCRac6wHod2bkRvwwtMEiLxFyWenBPYjaDR3MzsfD
16,1,Unsca Norna,"The Pilgrim, The One Who Dreams","A powerful wizard who had once vainly attempted to breach the gulf of Rhot in order to slay Zhar and Lloigor, and save the world from destruction. He was killed by his partner Pa'ch, but achieved his goal by lopping off Dluthos's head before his final battle, and mutilating the body of the World Dragon with his sword.",./final-sprites/b_mon_6_clip_m1_OPT.gif,QmPaDaVvNCpVakcvrp5L4iMU2RiTUm3GHkzCZTdAfJ5Zgh,QmV3Pbskd7D4DPmseyojXo4E8uzm6rbiPASh6b2TpU38n4,QmUjt5FoeqtM3sq8cYf12m5oSBnjmkd5FJtP2ndJDmiYPm
17,1,Phvithvre,The Protector of the Gates of the Flesh,"A monstrous entity which has the power of sealing and opening the gates of the flesh, keeping the living and the dead apart. Said to have manifested its avatars in much larger numbers around Xavala than in any other city.",./final-sprites/b_mon_11_clip_m1_OPT.gif,QmerrxMeZjLUcDcxdRWCg1pJxmjg8uByAKBsPwczyVEZhX,QmWYFJDqDuDrKikgAJj45Mr5gQ37dPywK6D5giFerT3oVG,QmbKLsZqQD3pgL7G6g34fYjRiioEhVPMwUpM3jU8wKi5kr
18,1,Yorae,The Mystery That Walks,"A scarlet, shifting humanoid that always looks to be made of smoke and haze, with a single, glowing eye. It is always seen carrying an oversized scythe adorned with frantic whispers.",./final-sprites/b_mon_21_clip_m1_OPT.gif,QmfKTiMKAoDRv3Ljcz5KkaBYzagtcyTUCEVLvanF6VZNi3,QmavyWUXwnpvgMHad2pXkALe1WHq9pJatFkqW67p7Nv5Jm,QmYTJmRN8pPuM6Nnpc7SzMmwc941GKWYjFSqLCmq1ic4e2
19,1,Ydheut,"The Intruder in the Throne Room,","A being of pure fire who cannot be destroyed. Ydheut has no gender, but it can replace the heart of any living thing with its own essence, killing the host and destroying their memories.",./final-sprites/claw-turban-TV-pheromone-palace-tandem_clip_m1_OPT.gif,QmPSxtyz6dZn4uvs77v2NJLALUBSaTDpCps5R8AZHXohCs,QmSwu6wHHHu8DYXZB9HXRpc2mnrAUYFQbbLHmzMgxxEKZq,QmeYZvxudT7nmVjDTnusn3ea8bLvqQ9quFWJ1qSDRN6dp3
20,1,Pa'ch,"God of Kings, The Shining Lord","An important God much worshiped by the Q’ero. He is the father of Ntánu Uryayar and a brother to three other Gods which were cast out of the realm of the Gods. His powers include healing and protection, and he has dominion over the land, the sea, the sky and death.",./final-sprites/porcupine-gold-administrator-diffuse-preparation-reluctance_norm_m1_OPT.gif,Qmd3GjPy8hzrrD87AakRRgJnTEsSmkPaUotRYJPYneUW7q,QmQJitWq2HjuBsrfm5W4zzsAowe5agM2pbeDg5a43Fh2cv,QmdUzxcW9aczH4P2urk4Vz5jitP46teBqVPTXTjWUCZ34V
21,1,Waärza,The Hidden Flower,"A gigantic entity with the appearance of an enormous, open flower. It is surrounded by smaller flowers which are in reality horrid monsters, and its pollen causes humans to become terrified. Those struck by it are turned into vines.",./final-sprites/rhubarb-gallon-maracas-scow-speaking-proportion_norm_m5_OPT.gif,QmfEd2aLYrLRtTbg5omCJqh4fhsBwHpSpMvg3YgSR5WV38,QmPCGrxrJ77VRzCMpmgFszFx9Ky2FXhHrNKtv8kfBA276Y,QmTtCSv1gtSUK9MAq2UG5y3iepDmJuYFHAKVYuhX5QeC4r
22,1,Chhnghu,The Unfortunate Prince,"An undead entity of unknown origin. It is said to have once been a prince who was murdered by a king seeking to consolidate power over his courtiers. The assembled souls of the royal court, in turn, cursed him. In death, he is doomed to walk the Earth until his soul departs his lifeless shell.",./final-sprites/major-league-warren-mailing-fourths-dill-trailpatrol_norm_m5_OPT.gif,QmVbW25cSjo2GREuRynvfujdYKqjZZhmSpjrNRctfveDev,QmeenofHLBmbPDvh6bf9pDwXXtuerGunDLYRjpurmV3qt2,QmRkYueKzSsnaggs31brcurxMnHYWEp1BjzSXKEUm2y4qU
23,1,Shi-Yvgaa,God of the Lightning Struck Tower,A being resembling a floating fish. Storms gather on its scales. Said to have had a tower constructed in its image on a small island.,./final-sprites/genetics-arithmetic-mall-subsidiary-variability-mess_clip_m1_OPT.gif,QmYgCbLhDCS2d9sER1A38PN5ReAhfEdDGq8UJbquhimBZW,QmSR9pWx9wHaD4tTyJrjGYrYkYwvBcBYieGqnhzwEJfHo1,QmZB7kHDcthBy4SszDmT2r3jvdkbcG9t4TfgShfn39t62x
24,1,Ximayya Xan,Mother of Camels,"A gigantic maroon camel. She is one of the greatest symbols of divinity, and the great-great-great-grandmother of all camels. It is believed that Apachita sent her as a sign of her favor, and that Ximayya Xan is a reflection of Apachita's true form.",./final-sprites/hazel-reveal-marten-hybridization-jealousy-mechanism_norm_m1_OPT.gif,QmUPnrxhPuBunudK5dubckhEocPpbfXvVcEiVvzMHPjiqP,QmXpXZWi7PQdZuYg1aBr8oDbgaVmSXY2D1rRDnjQ8Ax5zK,QmRWnQfhkUG7HwWBcpawjkXQ6D4szgj716ghErh4Lta8HN
25,1,l'Totoxl,The Speaker in Images,"A tyrannical, murderous priest-king who rules unopposed over Tihuanaco. He is said to possess magical abilities which grant him the power to commune with the dead and to project himself magically into other locations.",./final-sprites/prairie-quiver-cub-banyan-technology-storm_norm_m1_OPT.gif,QmWDDHe6GFYGscpUiryMxNWs49SksQWibK2b4sxXYoHpRx,Qmc3DYKkQX9tXfy4c5qzc6KKKSUYu1iEwZRNkZpgXRNTsR,Qmby5AM6vGvXcRBRN6Hn6bgtdQ97JBszNkGZ5A4hQEwwGg
26,1,Wakan,The Spirit That Watches Over the World,"A spirit said to watch over the world with indifference, from the highest mountain in the world, Mount Meru. It is depicted as a golem-like entity with an immense, vine-like body.",./final-sprites/bookmark-tackle-deformation-tornado-conception-fibrosis_clip_m6_OPT.gif,QmYyJbVi9XTfmqPbSqGVeRQFJNQg7cDbZXZu5FieZKQdBh,QmVQ1VjppWsuspouBKNB73Wk1K1U273zVAwJPuW8aEKK9N,QmPxegvoUWowcy2DqFGCMvWau2t7QhAbSBjs96ugjqoigH
27,1,Ythogtha,"The Thing in the Lake, The Bloated One, He Who Bloats","A huge, slimy, white being with writhing appendages. It is said to dwell within a lake in the Himalayas. The only known way of killing it is to strike it with a musical instrument made from a human spine.",./final-sprites/baritone-member-historian-causal-stimulation-mouser_norm_m1_OPT.gif,QmXF6vaFA3VcMK6E9RFpzhGfcDiMPqk12piJAYLuZjjUbG,QmSR9pWx9wHaD4tTyJrjGYrYkYwvBcBYieGqnhzwEJfHo1,QmQbZ6NWCCuZEYPFKszdQ3KUQdiKBkXUBpAmnMtpt1AfNK
28,1,Ub-ji,Lord of the Empty Sky,"Appears as an enormous, floating sphere of ghostly energy with glowing green eyes and a ghoulish face. She is an inscrutable god of death and magic, and those who dare raise a hand against her shall have their lives stolen from them.",./final-sprites/cathedral-breath-residue-possible-forebear-diaphragm_clip_m1_OPT.gif,QmQtsrDiZLz5tiCUmuQPjPqf6PeQANeABkoFC7MVL89eFU,Qmb3ZVTSX4bHR7WaRVeupnnnZ9wvov9HHA4zdpZVL8hcyi,QmXm5Nx1D1tya6xdLrkLCLGDBNh7vTmtUnY7NEScnCSQMj
29,1,Shuai’cha,The One that is Swallowed in Wrath,"A compressed entity of pure anger, destruction, and malice. He is thought to have been expelled from the realm of the gods in a fit of rage, and his only goal now is to destroy the heavens and the earth, and everything in them.",./final-sprites/gate-fiery-lantern-deficit-cushion-craw_clip_m1_OPT.gif,QmQrcN3nwbJdV1kbXrKsCS7YbUvNaWtfnwJNg5jPd1xsn7,QmUm6BeTkSu8brGG1ZwXENBuUihPGLX79whA9t1ZrKhjkQ,Qmf6DTDFArirH4ZY3DS7GS293gwZy6BnD3g15ZDTS56nWD
30,1,Sthümä,Resplendent Abomination,"A death-bringer who can bring his servants back to life by drowning them in his black, magical blood. His true form is said to be that of an immense cyclops with a black star for an eye.",./final-sprites/target-olive-destroyer-crash-hacienda-revenant_clip_m1_OPT.gif,QmWyijiFSgPPyi779Rk2NWFNpmYp16kF3Ln99x9x8pggzu,QmPcfHotn4MCtuMk5HnPSTEr2jjaonoGUZBNM9zs8Y9X9S,QmaKLnJy4SUNPqAA7HNMxef6SgRiycqJdEe2zMpME5CVDx
31,1,Senne'll,She Who Waits Behind the Wall,"An enormous, capricious entity capable of reshaping reality and rewriting the universe at will, who is said to be in a state of eternal slumber beneath a vast pool of water in the Arabian desert.",./final-sprites/cartridge-coverall-tank-top-organizing-flax-origin_norm_m0_OPT.gif,Qma4aP1ht3YsY3N6H7fH6vNw3NRQj9oP6M4JY33sXSMg1g,QmPCTkdEAsALUYQcdbmpbZrgCSMfgX9x7UsVFqtGCEn7JN,QmfViTrNPKp1RUiRLE2hosiDXUsw2JThyufN2tSYZzvSmd
32,1,Xyngogtha,Corpse God of the Sky,"A colossal, scarlet, vaguely humanoid corpse-like monstrosity with two great appendages tipped with a pair of wings each. It is said to be able to turn any slain army into a member of the armies it rules, and to spread disease wherever it treads.",./final-sprites/league-compliance-conifer-unibody-gearshift-apple_clip_m5_OPT.gif,QmUoFwvrLGCmCNnmFaqu5XoxGo87vxzY9c8HX1JhqPr5pz,QmdUwtdf3UwZhPcWi1Qw1DPoANdPcdPZQSz95tpc8sSX5w,QmZ7rpCjtAJ73tR3w1cR1XfLAGLkpykZTAZH4cNTWkyBDS
33,1,Slaaaof,The Greateaters,"Elongated entities which move through the cracks of the earth to devour humans. They are said to have no eyes or mouths, and to be blind and deaf. They can morph their bodies into any shape they desire. It is said that Sthümä, the ruler of the Black Moon, may have created them for this purpose.",./final-sprites/mime-vintage-macaroon-signup-beet-spouse_clip_m1_OPT.gif,QmeUKPYdrLtX6HT9KYa2es43KG5fzKz2uPBTZL4oAAKcM9,QmNdbWBnddCG6iiSQY9Vn32jE97qczBDvSaYGDBRTakTGV,QmcgiSqvJRVTjr8CENjxvFrEWRA4p6Y94CSpjJw4rh72V9
34,1,Thuuwäääääj,Guardian of the Forbidden City,A solitary winged entity guarding an entrance miles beneath the Earth. Carries a broadsword and is said to be immovable without a certain key.,./final-sprites/waterfall-teller-accommodation-fibroblast-depressive-resume_clip_m7_OPT.gif,QmfXL4oCY9EPDpnoHhoVjXivWuy3E3CFy6gh1burfhS82f,QmfMC6KFWut7MNYgAPcVAUe4Dk2MRzPzQ6pCHA7Nyno8jb,QmY3E4aMF81JwKdmZH6Gvy549A94hz3dCcRZtxb3vvCyEz
35,1,Ma’rathui,The Night Stalker,"The mother of the House of N’ghoo. A white, bat-like monster with three rows of thorns, eighteen fangs, no organs whatsoever. Saids to inhabit a blackness so deep that it stretches through the Earth.",./final-sprites/evening-wear-upward-choice-lining-thongs-nutrient_norm_m7_OPT.gif,QmPJWaSZ14hU829JqojQvm3owRceUsG83LsbbxkNQ75GgB,QmT3W39UNrwp74PVRGJBdmjCJffd3itNqy8fz968Wsh5J4,QmbLhJDudauAedz3TCb41opMeE5k4UDiWXdH2AtQqcmuc5
